document,summary
"b'french energy giant gdf suez said tuesday its north american subsidiary has agreed to buy UNK power enterprises inc. , an operator of hydro - and gas-powered electricity plants in massachusetts and connecticut .'",b'gdf suez to buy us power company UNK'
"b'danish culture minister UNK UNK is to go to britain to meet author salman rushdie to discuss a face-saving visit to copenhagen after an earlier trip was called off , her secretary said tuesday .'",b'danish culture minister to visit rushdie in london'
"b'turkey on monday expressed hope that lebanese general elections would bring permanent peace and stability to the country , said an official statement on monday .'",b'turkey hopes lebanese elections bring peace stability'
"b""a major tourism fair will be held in the port city of dalian in northeast china 's liaoning province on april ##-## .""",b'china tourism fair in dalian'
b'belarus president alexander lukashenko said tuesday he was confident that parliament would back his policy of integration with russia as the new assembly started work after months of political deadlock .',b'new belarus parliament starts work'
"b'the egyptian beat the american on friday , which is not the way the cookie normally crumbles on a tennis court .'",b'tennis unit puts third world first'
"b""a recent environmental inspection along the beijing-guangzhou rail line has showed that the `` white garbage '' which had seriously polluted the surrounding region has almost been eliminated .""",b'railway region cleaning up white pollution'
"b""baseball 's average salary burst past $ # million for the first time , and nearly half the players in the major leagues _ ### of ### _ will make $ # million or more , according to a study by the associated press .""",b'baseball salaries break $ # million'
"b'police investigating the shooting of taiwanese president chen shui-bian on the eve of his re-election victory have failed to come up with any suspects or leads after reviewing security tapes and interviewing witnesses , said an official on sunday .'",b'taiwan authorities release photos of shot president being treated'
"b'witnesses say yemeni security troops have opened fire on thousands of protesters calling for a boycott of april parliamentary elections , wounding a number of demonstrators .'",b'yemeni police clash with protesters'
"b'a noted sri lankan tamil scholar claimed wednesday that indian authorities had prevented him from taking part in the world tamil conference in southern india because they suspected him of links with tamil militants , the press trust of india reported .'",b'sri lankan scholar denied entry to world tamil conference'
"b""with gentle persuasion and wafting aromas , a group of canadian and u.s. churches are pushing thousands of members to drink coffee that improves the lot of latin america 's farmers .""",b'churches activists push cafes to stock fair-trade coffee with UNK'
"b'china has canceled debts totalling #.# billion dollars owed by ## african countries , chinese prime minister wen jiabao told a major sino-african cooperation conference on monday .'",b'china writes off #.# billion dollars of african debt'
"b""eighty percent of the young farmers in a remote village at dingzhou , a city in north china 's hebei province , have left their hometown to take new jobs .""",b'chinese farmers find more ways to make a good living'
"b""as roma 's hopes of qualifying for the quarter-finals of the champions league were virtually extinguished after the italians lost #-# to valencia here at the olympic stadium on tuesday .""","b""carew 's freak goal leaves roma in ruins"""
"b""`` people all over the world need and yearn for peace , '' said chinese foreign minister li zhaoxing here tuesday .""",b'people desire and yearn for peace chinese fm'
