text,summary
"China has canceled debts totalling billion dollars owed by African countries, Chinese prime minister Wen Jiabao told a major Sino-African cooperation conference on Monday.",China writes off billions of African debt.
"Eighty percent of the young farmers in a remote village in dingzhou, a city in northern China's province, have left their hometown to take new jobs.",Chinese farmers find more ways to make a good living.
Roma's hopes of qualifying for the quarterfinals of the Champions League were virtually extinguished after the Italians lost to Valencia here at the Olympic Stadium on Tuesday.,"Care's freak goal leaves Rome in ruins"""
"People all over the world need years for peace,'' said Chinese foreign minister Li Zhaoxing here Tuesday.",People desire and years for peace.
The Islamic Resistance Movement has on Saturday criticized meetings between prime minister armed forces and US Secretary of State UNK in Jordan.,Has slums sure for his meeting with Powell in Jordan?
"Fifty Zimbabwean antigovernment protesters, who were arrested and beaten by riot police officers three days ago, were freed Wednesday after neither the police nor prospectors showed up at a court hearing at which the activist was to be charged, defense lawyers said.",Protests in Zimbabwe are set free of charge.
The World Health Organization sponsored conference on Tibetan medicine and medicines of other Chinese ethnic minorities opened here Sunday.,Conference on Tibetan Medicine opens.
Rebel clerk muqtada altar on Friday asked the white religious authority to take control of naval flashpoint old city where his army militiamen have been stationed and he defended his uprising against coalition forces.,"Altar offers to hand over naval's old city to religious authorities after his uprising"""
"The case against a man convicted of killing his minister father, stepmother and two young stepsisters so he could attend his high school must be dismissed because he did not receive a speedy trial, the state appeals court ruled.",Indiana court loses conviction of man accused of killing family at home.
"Until late summer, the organizers of a holocaust memorial here, the brainchild of Simonwiesenthal the Nazi hunter, were worried because everything was going so smoothly with the project that it seemed it might not elicit any comment.",Vienna holocaust museum hits last minute says.
A U.S. House of Representatives panel voted Thursday to recommend expelling the loud brush at times crude and popular representative james traficant of Ohio.,U.S. House set to expel flamboyant lawmakers convicted of bribery.
And rental corp. parent of the Alamo and national rental car companies reported a wider loss for the first quarter and said it had eliminated jobs or percent of its workforce.,Rental car companies to cut jobs.
Iberoamerican leaders demanded that the U.S. abide by U.N. resolutions to end its economic blockade against Cuba as they concluded a summit today with a series of final statements.,Iberoamerican leaders demand end to U.S. economic blockade of Cuba.
Extreme minister Kazimira Prunskiene's campaign office sent a letter Tuesday asking the country's prosecution general's office to investigate what it said were voting irregularities in the presidential election this weekend.,"After losing narrow presidential rudolf lithuania's UNK cries foul"""
"Bulgaria's transport ministry said Thursday it has deprived four cargo carriers of the airworthiness certificates and banner, another from flying to the European Union for failing to meet security requirements.",Bulgaria's four cargo carriers bar another from flights.
